career,conteo
construcción_e_ingeniería_civil,2
ciencias_computacionales,2
ingeniería_industrial,2
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,2
mecánica_y_profesiones_afines_al_trabajo_metálico,2
medicina_general,2
psicología,2
biología,2
ingeniería_de_procesos_químicos,2
derecho,2
administración_de_empresas,2
economía,2
comunicación_y_periodismo,2
diseño_y_comunicación_gráfica_y_editorial,2
historia_y_arqueología,2
arquitectura_y_urbanismo,4
